"Theta_x","Theta_y","Estimated Theta_x","Estimated Theta_y"
11.521,-0.003102502187,11.994,177.9104894,
11.531,-0.003102243847,12.034,177.9104894,
11.531,-0.003102243847,12.104,154.0370282,
11.621,-0.003101857859,12.134,154.0370282,
11.651,-0.003101114939,12.134,154.0370282,
11.701,-0.003098932092,12.151,154.0370282,
11.731,-0.003292476115,12.194,154.0370282,
11.744,-0.003542303174,12.224,161.4352309,
11.791,-0.004927963803,12.254,164.8456411,
11.814,-0.006270519533,12.274,164.8456411,
11.874,-0.01104416586,12.324,164.8456411,
11.911,-0.01205791712,12.354,164.8456411,
11.914,-0.01436756842,12.391,152.55898,
11.974,-0.02193471046,12.414,152.55898,
11.994,-0.0252355027,12.464,37.34269288,
12.034,-0.03333809871,12.491,19.4639862,
12.104,-0.04371576373,12.504,10.45207722,
12.134,-0.05003461838,12.554,10.45207722,
12.134,-0.05003461838,12.591,8.889531024,
12.151,-0.05678651574,12.624,8.889531024,
12.194,-0.06601059641,12.654,5.834921995,
12.224,-0.07247917723,12.694,5.834921995,
12.254,-0.08377530072,12.724,5.834921995,
12.274,-0.09557883462,12.754,7.02183904,
12.324,-0.1012149052,12.804,7.653668772,
12.354,-0.1122335978,12.824,7.653668772,
12.391,-0.1238404131,12.854,7.889716679,
12.414,-0.130942724,12.894,7.889716679,
12.464,-0.1472672088,12.924,7.62089308,
12.491,-0.1625927527,12.974,7.62089308,
12.504,-0.1678676054,13.004,7.698010041,
12.554,-0.1885262747,13.014,7.698010041,
12.591,-0.2026719098,13.054,6.98693146,
12.624,-0.2206207301,13.104,7.815347489,
12.654,-0.2335003822,13.134,8.353264527,
12.694,-0.249746054,13.154,8.353264527,
12.724,-0.2681057818,13.184,8.353264527,
12.754,-0.2860247862,13.254,8.353264527,
12.804,-0.3041111014,13.264,8.353264527,
12.824,-0.3311576593,13.291,8.492250732,
12.854,-0.3416354646,13.324,8.492250732,
12.894,-0.3624805398,13.354,10.12634836,
12.924,-0.3820837313,13.374,10.12634836,
12.974,-0.4156873016,13.424,10.12634836,
13.004,-0.4346822541,13.454,11.46828713,
13.014,-0.444099006,13.484,11.46828713,
13.054,-0.4691325826,13.524,11.46828713,
13.094,-0.4998959467,13.554,12.30780849,
13.134,-0.5228930563,13.584,15.59453046,
13.154,-0.5427005153,13.624,16.37650765,
13.184,-0.5666540501,13.644,16.92449952,
13.234,-0.5988796776,13.694,16.92449952,
13.254,-0.6192759654,13.694,16.92449952,
13.291,-0.6416828654,13.734,16.92449952,
13.324,-0.6767141257,13.784,16.22179907,
13.354,-0.6952747384,13.824,16.22179907,
13.374,-0.7180953389,13.851,16.22179907,
13.424,-0.7558174129,13.884,16.41425752,
13.454,-0.7849095991,13.911,16.41425752,
13.484,-0.8154755062,13.954,17.03633281,
13.524,-0.847568726,13.984,17.03633281,
13.554,-0.8792931404,14.014,18.81240023,
13.584,-0.9087433094,14.054,18.81240023,
13.624,-0.940647368,14.081,20.6173389,
13.644,-0.9819873912,14.114,21.70927473,
13.694,-1.034423374,14.144,21.70927473,
13.694,-1.041585404,14.191,21.70927473,
13.734,-1.074665989,14.214,22.79946623,
13.784,-1.11340294,14.241,22.79946623,
13.824,-1.149777532,14.301,23.06565086,
13.851,-1.183405638,14.311,23.06565086,
13.884,-1.215354034,14.341,24.69022013,
13.911,-1.257994028,14.381,24.69022013,
13.954,-1.294385749,14.401,24.69022013,
13.984,-1.333555114,14.454,24.69022013,
14.014,-1.370865512,14.491,25.9267726,
14.054,-1.409887756,14.521,27.20073168,
14.081,-1.454324854,14.544,28.5182599,
14.114,-1.498636796,14.594,28.5182599,
14.144,-1.55144246,14.614,28.76183784,
14.191,-1.575421301,14.644,28.76183784,
14.214,-1.614329445,14.691,30.30902413,
14.241,-1.652471057,14.711,30.30902413,
14.301,-1.708664608,14.754,30.30902413,
14.311,-1.736586039,14.774,31.13927865,
14.341,-1.781136908,14.821,31.46005302,
14.381,-1.825987762,14.821,31.46005302,
14.401,-1.870667599,14.864,32.29287864,
14.454,-1.919403486,14.904,32.29287864,
14.491,-1.968218584,14.904,32.29287864,
14.521,-2.017059615,14.994,34.16668985,
14.544,-2.052411,15.014,35.09944091,
14.594,-2.114623271,15.051,35.13912244,
14.614,-2.153477251,15.071,35.13912244,
14.644,-2.202770921,15.124,35.26524431,
14.691,-2.252404805,15.141,35.26524431,
14.711,-2.29878749,15.184,35.26524431,
14.754,-2.353631343,15.211,35.26524431,
14.774,-2.407704879,15.264,35.28284941,
14.821,-2.45189128,15.291,35.65097727,
14.821,-2.517358811,15.391,36.7166487,
14.864,-2.578010615,15.391,37.08149803,
14.904,-2.658360711,15.391,37.08149803,
14.904,-2.676135855,15.401,37.08149803,
14.994,-2.71032781,15.454,37.41223002,
15.014,-2.773863624,15.464,37.41223002,
15.051,-2.829811781,15.521,38.10056129,
15.071,-2.866369243,15.571,39.23747783,
15.124,-2.938453207,15.574,39.23747783,
15.141,-2.971389687,15.614,39.23747783,
15.184,-3.059863865,15.644,39.65163861,
15.211,-3.093845165,15.701,39.65163861,
15.264,-3.161305148,15.714,39.65163861,
15.291,-3.222054254,15.744,39.62887636,
15.354,-3.277318334,15.784,39.62887636,
15.391,-3.395773382,15.814,39.72545391,
15.391,-3.395773382,15.884,39.72545391,
15.401,-3.457422044,15.891,39.72545391,
15.454,-3.516404154,15.911,40.93963238,
15.464,-3.581786681,15.941,40.93963238,
15.521,-3.644700754,15.971,40.93963238,
15.571,-3.702456298,16.024,41.5056757,
15.574,-3.782329926,16.024,41.5056757,
15.614,-3.822181673,16.084,41.5056757,
15.644,-3.892582101,16.101,42.49788239,
15.701,-3.961315528,16.124,42.49788239,
15.714,-4.003357686,16.194,42.47027179,
15.744,-4.062291944,16.214,42.47027179,
15.784,-4.123917242,16.251,43.3478181,
15.814,-4.187051557,16.284,43.3478181,
15.881,-4.278001475,16.324,43.47702454,
15.891,-4.311850863,16.344,43.47702454,
15.911,-4.364765089,16.381,43.47702454,
15.941,-4.424887335,16.421,44.20162154,
15.971,-4.494378926,16.464,44.20162154,
16.024,-4.619180949,16.464,44.20162154,
16.024,-4.619180949,16.501,44.20162154,
16.084,-4.664658237,16.541,44.56330118,
16.101,-4.715291677,16.581,44.56330118,
16.124,-4.81109411,16.611,44.56330118,
16.194,-4.865522753,16.654,45.10672283,
16.204,-4.928701826,16.664,45.10672283,
16.251,-4.978979753,16.714,45.10672283,
16.284,-5.045289888,16.754,45.63368047,
16.324,-5.116546406,16.791,45.63368047,
16.344,-5.175507994,16.824,45.22761867,
16.381,-5.255140924,16.854,45.58226821,
16.421,-5.296001772,16.884,45.58226821,
16.464,-5.430821333,16.914,45.753392,
16.464,-5.43151294,16.954,45.753392,
16.501,-5.487481833,16.991,45.84810482,
16.541,-5.56823951,17.014,45.84810482,
16.581,-5.639912935,17.061,45.84810482,
16.611,-5.693614253,17.084,46.00221013,
16.654,-5.758403114,17.104,46.00221013,
16.664,-5.811324586,17.151,46.00221013,
16.714,-5.885908293,17.194,48.58274113,
16.754,-5.953717062,17.194,48.58274113,
16.784,-6.021745114,17.281,48.58274113,
16.824,-6.085747825,17.281,51.45387652,
16.854,-6.152548553,17.304,51.45387652,
16.884,-6.217957554,17.361,52.42787842,
16.914,-6.312080937,17.381,52.42787842,
16.954,-6.371483911,17.414,52.89870647,
16.991,-6.425286082,17.454,52.89870647,
17.014,-6.497471167,17.484,52.89870647,
17.061,-6.56539349,17.511,52.89870647,
17.084,-6.632543528,17.554,52.90448828,
17.104,-6.689894322,17.574,52.36738329,
17.141,-6.430727094,17.591,52.36738329,
17.184,-5.856059465,17.654,52.22563841,
