"error_x","error_y"
12.104,1405.786267,
12.131,1405.835228,
12.131,1405.824062,
12.134,1404.856679,
12.134,1404.848416,
12.134,1404.848416,
12.134,1404.848416,
12.134,1404.848416,
12.134,1404.848416,
12.151,1404.848416,
12.151,1404.848416,
12.151,1404.590702,
12.151,1404.588432,
12.194,1404.636081,
12.194,1404.624552,
12.194,1403.786465,
12.194,1403.903101,
12.224,1403.952266,
12.224,1403.941133,
12.224,1403.414919,
12.224,1403.410492,
12.254,1403.507698,
12.254,1403.485125,
12.254,1404.096909,
12.254,1387.324541,
12.274,1387.324541,
12.274,1387.324541,
12.274,1387.047589,
12.274,1387.048464,
12.324,1387.097081,
12.324,1387.088064,
12.324,1384.0937,
12.324,1377.85217,
12.354,1377.902535,
12.354,1377.894909,
12.354,1377.108922,
12.354,1377.114015,
12.391,1377.163026,
12.391,1377.155137,
12.391,1376.354252,
12.391,1376.359461,
12.414,1376.409996,
12.414,1376.402396,
12.414,1375.066148,
12.414,1402.068507,
12.464,1402.116734,
12.464,1402.104863,
12.464,360.3962192,
12.464,566.4894647,
12.491,566.4887501,
12.491,566.4442857,
12.494,566.4428016,
12.494,566.7920066,
12.504,566.7913256,
12.504,566.7453064,
12.504,566.7460271,
12.504,566.6936961,
12.554,566.6929939,
12.554,566.6487028,
12.554,568.4616361,
12.554,145.3442212,
12.591,145.3283368,
12.591,145.2848255,
12.591,145.3084283,
12.591,145.3850291,
12.624,145.3686567,
12.624,145.3267904,
12.624,143.8662536,
12.624,124.2900537,
12.654,124.2734036,
12.654,124.230256,
12.654,124.2546496,
12.654,124.3343932,
12.684,124.3172352,
12.684,124.2757284,
12.694,120.9677729,
12.694,82.55726128,
12.724,82.53915872,
12.724,82.496608,
12.724,82.52567944,
12.724,82.62555654,
12.754,82.60690522,
12.754,82.56598126,
12.754,84.34403597,
12.754,98.20849556,
12.804,98.19086176,
12.804,98.14825789,
12.804,99.00032662,
12.804,106.4505319,
12.824,106.4326398,
12.824,106.3915884,
12.824,106.4224157,
